Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.40731E-4,24.254314051,0.34934893,0.064954494,0.076923077,0
4.4463E-4,24.519962214,0.3518182,0.064206458,0.076923077,0
4.57007E-4,24.790601395,0.359594566,0.063458422,0.076923077,0
4.65924E-4,25.021702933,0.365139008,0.062835058,0.076923077,0
4.68783E-4,25.255669664,0.366906669,0.062211694,0.076923077,0
4.77808E-4,25.540610058,0.372453801,0.061463658,0.076923077,0
4.91087E-4,25.78463619,0.380527592,0.060840294,0.076923077,0
4.96931E-4,26.032466151,0.384047505,0.060216931,0.076923077,0
5.04312E-4,26.282553419,0.388465337,0.059593567,0.076923077,0
5.09285E-4,26.536398802,0.391423735,0.058970203,0.076923077,0
5.15822E-4,26.792993661,0.395290643,0.05834684,0.115384615,0
5.24419E-4,27.00218272,0.400338877,0.057848149,0.115384615,0
5.2983E-4,27.265995122,0.403494548,0.057224785,0.115384615,0
5.37062E-4,27.532603088,0.407686567,0.056601421,0.115384615,0
5.43439E-4,27.803477392,0.411358961,0.055978058,0.115384615,0
5.46937E-4,28.021466535,0.413363389,0.055479367,0.115384615,0
5.53675E-4,28.295980719,0.417205041,0.054856003,0.115384615,0
5.56697E-4,28.518301402,0.418920103,0.054357312,0.115384615,0
5.65308E-4,28.79926307,0.423779156,0.053733948,0.115384615,0
5.68603E-4,29.026033643,0.425627283,0.053235257,0.115384615,0
5.77737E-4,29.255950496,0.430720874,0.052736567,0.115384615,0
5.82422E-4,29.546133836,0.433315389,0.052113203,0.115384615,0
5.87472E-4,29.780569542,0.436099596,0.051614512,0.153846154,0
5.95032E-4,30.017151779,0.440241247,0.051115821,0.192307692,0
5.98346E-4,30.255871895,0.442047345,0.05061713,0.192307692,0
6.06713E-4,30.557344989,0.446581212,0.049993766,0.192307692,0
6.1562E-4,30.802770715,0.451367157,0.049495075,0.192307692,0
6.19316E-4,31.049970215,0.453341033,0.048996384,0.192307692,0
6.36696E-4,31.302141571,0.462528118,0.048497694,0.192307692,0
6.39983E-4,31.557698776,0.464247983,0.047999003,0.192307692,0
6.44641E-4,31.750521064,0.466676216,0.047624984,0.192307692,0
6.60481E-4,32.013323949,0.474850725,0.047126293,0.192307692,0
6.65111E-4,32.278516554,0.477216095,0.046627603,0.230769231,0
6.80885E-4,32.548377576,0.485196429,0.046128912,0.230769231,0
6.86437E-4,32.753709362,0.487975767,0.045754893,0.230769231,0
6.90882E-4,33.029194291,0.490190666,0.045256202,0.230769231,0
7.04931E-4,33.308073052,0.497127427,0.044757512,0.230769231,0
