x,y,species cloglog values
321.0,321.0,0.38957322
322.0,322.0,0.5786811
323.0,323.0,0.015935937
324.0,324.0,3.4722427E-5
325.0,325.0,0.009382748
326.0,326.0,0.0
327.0,327.0,0.10474608
328.0,328.0,0.09393283
329.0,329.0,9.992007E-16
330.0,330.0,6.788132E-8
331.0,331.0,6.1171135E-4
332.0,332.0,0.048812713
333.0,333.0,3.3089737E-8
334.0,334.0,3.6224992E-5
335.0,335.0,0.15400583
336.0,336.0,0.26547077
337.0,337.0,0.09126613
338.0,338.0,0.051238634
339.0,339.0,0.027869577
340.0,340.0,1.110223E-16
341.0,341.0,0.029451838
342.0,342.0,7.283063E-14
343.0,343.0,0.0
344.0,344.0,0.050806254
345.0,345.0,2.0872193E-14
346.0,346.0,0.0037456825
347.0,347.0,0.072648175
348.0,348.0,1.203736E-5
349.0,349.0,3.7951547E-6
350.0,350.0,0.0590841
351.0,351.0,0.042617112
352.0,352.0,0.45959294
353.0,353.0,0.18421884
354.0,354.0,9.864585E-4
355.0,355.0,1.4106648E-5
356.0,356.0,0.03470442
357.0,357.0,0.011689483
358.0,358.0,7.182125E-4
359.0,359.0,0.35163933
360.0,360.0,9.7272305E-6
361.0,361.0,3.192193E-6
362.0,362.0,0.00997517
363.0,363.0,1.1441947E-6
364.0,364.0,1.3635981E-11
365.0,365.0,1.7557253E-6
366.0,366.0,0.040502932
367.0,367.0,0.030839484
368.0,368.0,1.2717393E-6
369.0,369.0,4.6426576E-5
370.0,370.0,2.5679057E-9
371.0,371.0,0.29292554
372.0,372.0,0.10126217
373.0,373.0,2.4313884E-14
374.0,374.0,0.48268867
375.0,375.0,1.2796271E-5
376.0,376.0,1.2212453E-15
377.0,377.0,1.2845353E-6
378.0,378.0,0.04748705
379.0,379.0,7.569419E-4
380.0,380.0,0.03812867
381.0,381.0,0.72533154
382.0,382.0,1.9263709E-8
383.0,383.0,0.033598855
384.0,384.0,0.009696114
385.0,385.0,2.0352227E-9
386.0,386.0,4.973799E-14
387.0,387.0,0.0022981027
388.0,388.0,0.003980941
389.0,389.0,9.4554364E-12
390.0,390.0,3.6832833E-7
391.0,391.0,4.8486312E-5
392.0,392.0,0.33049062
393.0,393.0,0.008648048
394.0,394.0,4.3198778E-13
395.0,395.0,3.095008E-7
396.0,396.0,3.4791665E-5
397.0,397.0,1.3100632E-13
398.0,398.0,0.16486056
399.0,399.0,1.096605E-10
400.0,400.0,0.0020651587
401.0,401.0,2.9976022E-15
402.0,402.0,1.44042E-4
403.0,403.0,0.041927222
404.0,404.0,0.058486957
405.0,405.0,0.0018523525
406.0,406.0,4.3649747E-4
407.0,407.0,0.060737513
408.0,408.0,2.68194E-6
409.0,409.0,0.056219533
410.0,410.0,0.08316808
411.0,411.0,1.7225175E-6
412.0,412.0,0.012104311
413.0,413.0,1.9406698E-12
414.0,414.0,1.569196E-5
415.0,415.0,0.017769124
416.0,416.0,1.1001879E-4
417.0,417.0,0.013592782
418.0,418.0,1.1879386E-14
419.0,419.0,0.001120871
420.0,420.0,0.059075203
421.0,421.0,0.0057121604
422.0,422.0,0.0012294514
423.0,423.0,0.065360226
424.0,424.0,3.8431176E-6
425.0,425.0,5.440093E-15
426.0,426.0,0.0021825684
427.0,427.0,0.73681915
428.0,428.0,0.11882936
429.0,429.0,0.0016222831
430.0,430.0,0.09179284
431.0,431.0,0.011134084
432.0,432.0,5.343152E-4
433.0,433.0,0.16308506
434.0,434.0,0.0075052204
435.0,435.0,0.9303639
436.0,436.0,0.03569635
437.0,437.0,6.440848E-12
438.0,438.0,0.28069922
439.0,439.0,3.1619152E-13
440.0,440.0,0.005108987
441.0,441.0,0.052753977
442.0,442.0,0.004399822
443.0,443.0,1.4889201E-12
444.0,444.0,0.01291768
445.0,445.0,2.9398706E-12
446.0,446.0,3.808276E-11
447.0,447.0,2.6253852E-8
448.0,448.0,0.05817741
449.0,449.0,3.244778E-8
450.0,450.0,1.5764705E-5
451.0,451.0,2.5279778E-13
452.0,452.0,0.011407915
453.0,453.0,3.2192253E-7
454.0,454.0,3.2861618E-4
455.0,455.0,0.21763366
456.0,456.0,0.42828447
457.0,457.0,2.1582736E-13
458.0,458.0,3.8051724E-7
459.0,459.0,5.283664E-7
460.0,460.0,4.268752E-11
461.0,461.0,0.0
462.0,462.0,0.065789156
463.0,463.0,1.6153745E-13
464.0,464.0,0.11760025
465.0,465.0,1.2992385E-11
466.0,466.0,0.040372413
467.0,467.0,0.048076637
468.0,468.0,1.17037466E-7
469.0,469.0,0.003383486
470.0,470.0,3.9307497E-4
471.0,471.0,2.7605495E-4
472.0,472.0,0.01672404
473.0,473.0,1.905159E-4
474.0,474.0,0.6538133
475.0,475.0,2.2169488E-11
476.0,476.0,5.0650373E-11
477.0,477.0,0.011698769
478.0,478.0,3.519407E-14
479.0,479.0,0.063413754
480.0,480.0,1.4432899E-15
481.0,481.0,0.0027408
482.0,482.0,0.3788565
483.0,483.0,1.1833972E-5
484.0,484.0,0.77590543
485.0,485.0,6.9610984E-14
486.0,486.0,0.074008495
487.0,487.0,0.002803341
488.0,488.0,4.946402E-7
489.0,489.0,6.358762E-6
490.0,490.0,3.5828727E-8
