"species","longitude","latitude","year","month","basisOfRecord","coordinateUncertaintyInMeters","country","locality","occurrenceID"
"Capra sibirica",74.78908,36.20245,2024,7,"MACHINE_OBSERVATION",5,"Pakistan",NA,"occ65"
"Capra sibirica",76.948507,43.04534,2024,8,"HUMAN_OBSERVATION",122,"Kazakhstan",NA,"https://www.inaturalist.org/observations/239344968"
"Capra sibirica",77.462715,43.235566,2024,8,"HUMAN_OBSERVATION",50,"Kazakhstan",NA,"https://www.inaturalist.org/observations/238924955"
"Capra sibirica",77.462714,43.235651,2024,8,"HUMAN_OBSERVATION",48,"Kazakhstan",NA,"https://www.inaturalist.org/observations/238951177"
"Capra sibirica",100.548326,43.56238,2024,9,"HUMAN_OBSERVATION",3,"Mongolia",NA,"https://www.inaturalist.org/observations/241830083"
"Capra sibirica",77.868665,43.882335,2024,9,"HUMAN_OBSERVATION",185,"Kazakhstan",NA,"https://www.inaturalist.org/observations/243579947"
"Capra sibirica",74.85652,36.16084,2024,9,"MACHINE_OBSERVATION",5,"Pakistan",NA,"occ54"
"Capra sibirica",77.495935,43.258995,2024,10,"HUMAN_OBSERVATION",48,"Kazakhstan",NA,"https://www.inaturalist.org/observations/248052356"
"Capra sibirica",78.637203,31.776672,2024,10,"HUMAN_OBSERVATION",6,"India","Himachal Pradesh","https://observation.org/observation/332273721"
"Capra sibirica",75.391753,36.836637,2024,10,"HUMAN_OBSERVATION",14,"Pakistan",NA,"https://www.inaturalist.org/observations/302564145"
"Capra sibirica",76.958369,43.092151,2024,11,"HUMAN_OBSERVATION",1502,"Kazakhstan",NA,"https://www.inaturalist.org/observations/253389504"
"Capra sibirica",77.131618,34.333208,2023,2,"HUMAN_OBSERVATION",372,"India",NA,"https://www.inaturalist.org/observations/183085458"
"Capra sibirica",77.1162,37.09018,2023,2,"HUMAN_OBSERVATION",1091,"China",NA,"https://www.inaturalist.org/observations/253719667"
"Capra sibirica",87.802796,43.684881,2023,3,"HUMAN_OBSERVATION",976,"China",NA,"https://www.inaturalist.org/observations/153134830"
"Capra sibirica",87.165441,43.427929,2023,4,"HUMAN_OBSERVATION",93,"China",NA,"https://www.inaturalist.org/observations/159651803"
"Capra sibirica",76.995618,43.037445,2023,4,"HUMAN_OBSERVATION",45,"Kazakhstan","Karasayskiy","https://observation.org/observation/269801342"
"Capra sibirica",74.466035,42.580334,2023,5,"HUMAN_OBSERVATION",31,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/160094944"
"Capra sibirica",74.513781,42.549605,2023,5,"HUMAN_OBSERVATION",15,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/162455606"
"Capra sibirica",104.07245,43.520522,2023,5,"HUMAN_OBSERVATION",6,"Mongolia","Yolin Am - Zuun Saikhanii Nuruu","https://observation.org/observation/276431391"
"Capra sibirica",104.069847,43.518678,2023,5,"HUMAN_OBSERVATION",10,"Mongolia","Yolin Am - Zuun Saikhanii Nuruu","https://observation.org/observation/285284506"
"Capra sibirica",102.933929,43.666084,2023,5,"HUMAN_OBSERVATION",1000,"Mongolia","Ömnögovi","https://observation.org/observation/299415995"
"Capra sibirica",76.998317,43.071033,2023,5,"HUMAN_OBSERVATION",24,"Kazakhstan",NA,"https://www.inaturalist.org/observations/224205461"
"Capra sibirica",76.999216,43.070631,2023,5,"HUMAN_OBSERVATION",134,"Kazakhstan",NA,"https://www.inaturalist.org/observations/224205448"
"Capra sibirica",76.998096,43.071355,2023,5,"HUMAN_OBSERVATION",67,"Kazakhstan",NA,"https://www.inaturalist.org/observations/224205452"
